TIPO_LESÃO,TIPO_SEGMENTAÇÃO,N_NODES,EMBEDDING_SIZE,LEARNING_RATE,WEIGHT_DECAY,RANDOM_SEED,CLASS_WEIGHT_MALIGN,TEST_ACCURACY,TEST_RECALL_MALIGN,TEST_PRECISION_MALIGN,TEST_F1_MALIGN,TEST_SUPPORT_MALIGN,TEST_RECALL_BENIGN,TEST_PRECISION_BENIGN,BEST_VAL_ACCURACY,N_RUNS_SUCCESSFUL
CALC,SLIC,100,128,0.001,0.001,42,1.3929235935211182,0.7446808510638298,0.7058823529411765,0.631578947368421,0.6666666666666666,68.0,0.7666666666666667,0.8214285714285714,0.7659574468085106,3
CALC,SLIC,100,128,0.001,0.0005,42,1.3929235935211182,0.723404255319149,0.8235294117647058,0.5833333333333334,0.6829268292682927,68.0,0.6666666666666666,0.8695652173913043,0.7287234042553191,3
CALC,SLIC,100,128,0.0005,0.001,42,1.3929235935211182,0.7659574468085106,0.7058823529411765,0.6666666666666666,0.6857142857142857,68.0,0.8,0.8275862068965517,0.7606382978723404,3
CALC,SLIC,100,128,0.0005,0.0005,1024,1.3929235935211182,0.7606382978723404,0.7058823529411765,0.6575342465753424,0.6808510638297872,68.0,0.7916666666666666,0.8260869565217391,0.7978723404255319,3
CALC,DISF,100,128,0.001,0.001,123,1.3929235935211182,0.7074468085106383,0.7941176470588235,0.5684210526315789,0.6625766871165644,68.0,0.6583333333333333,0.8494623655913979,0.7393617021276596,3
CALC,DISF,100,128,0.001,0.0005,1024,1.3929235935211182,0.7127659574468085,0.8529411764705882,0.5686274509803921,0.6823529411764706,68.0,0.6333333333333333,0.8837209302325582,0.7553191489361702,3
CALC,DISF,100,128,0.0005,0.001,123,1.3929235935211182,0.7074468085106383,0.7941176470588235,0.5684210526315789,0.6625766871165644,68.0,0.6583333333333333,0.8494623655913979,0.75,3
CALC,DISF,100,128,0.0005,0.0005,1024,1.3929235935211182,0.6968085106382979,0.75,0.5604395604395604,0.6415094339622641,68.0,0.6666666666666666,0.8247422680412371,0.7446808510638298,3
MASS,SLIC,100,128,0.001,0.001,42,1.0830670595169067,0.6882352941176471,0.620253164556962,0.6805555555555556,0.6490066225165563,79.0,0.7472527472527473,0.6938775510204082,0.6470588235294118,3
MASS,SLIC,100,128,0.001,0.0005,1024,1.0830670595169067,0.6470588235294118,0.7088607594936709,0.6021505376344086,0.6511627906976745,79.0,0.5934065934065934,0.7012987012987013,0.6470588235294118,3
MASS,SLIC,100,128,0.0005,0.001,42,1.0830670595169067,0.6705882352941176,0.6835443037974683,0.6352941176470588,0.6585365853658537,79.0,0.6593406593406593,0.7058823529411765,0.6764705882352942,3
MASS,SLIC,100,128,0.0005,0.0005,1024,1.0830670595169067,0.6705882352941176,0.7215189873417721,0.6263736263736264,0.6705882352941176,79.0,0.6263736263736264,0.7215189873417721,0.6705882352941176,3
MASS,DISF,100,128,0.001,0.001,42,1.0830670595169067,0.7470588235294118,0.759493670886076,0.7142857142857143,0.7361963190184049,79.0,0.7362637362637363,0.7790697674418605,0.6764705882352942,3
MASS,DISF,100,128,0.001,0.0005,42,1.0830670595169067,0.6941176470588235,0.8354430379746836,0.6285714285714286,0.717391304347826,79.0,0.5714285714285714,0.8,0.6823529411764706,3
MASS,DISF,100,128,0.0005,0.001,42,1.0830670595169067,0.6882352941176471,0.6582278481012658,0.6666666666666666,0.6624203821656051,79.0,0.7142857142857143,0.7065217391304348,0.6588235294117647,3
MASS,DISF,100,128,0.0005,0.0005,1024,1.0830670595169067,0.7235294117647059,0.7721518987341772,0.6777777777777778,0.7218934911242604,79.0,0.6813186813186813,0.775,0.6588235294117647,3
